"","DOY_HEL99","HEL99","FLB_HEL99","p25","p50","p100","relpos"
"1",142,31.18075386,NA,31.1954446,28.0541629728571,27.407068754,0
"2",149,31.69702829,NA,31.1954446,28.0541629728571,27.407068754,0.0666666666666667
"3",156,30.70855165,NA,31.1954446,28.0541629728571,27.407068754,0.133333333333333
"4",163,NA,NA,31.1954446,28.0541629728571,27.407068754,0.2
"5",170,28.56055661,NA,25.6982017525,28.0541629728571,27.407068754,0.266666666666667
"6",177,25.85767902,25.85767902,25.6982017525,28.0541629728571,27.407068754,0.333333333333333
"7",189.7,24.74408347,NA,25.6982017525,28.0541629728571,27.407068754,0.4
"8",202.4,23.63048791,NA,25.6982017525,28.0541629728571,27.407068754,0.466666666666667
"9",215.1,24.66137731,NA,25.31056152,26.8408613125,27.407068754,0.533333333333333
"10",227.8,25.07951902,NA,25.31056152,26.8408613125,27.407068754,0.6
"11",240.5,25.74981147,NA,25.31056152,26.8408613125,27.407068754,0.666666666666667
"12",253.2,25.75153828,NA,25.31056152,26.8408613125,27.407068754,0.733333333333333
"13",265.9,27.91553659,NA,28.371161105,26.8408613125,27.407068754,0.8
"14",278.6,27.68185295,NA,28.371161105,26.8408613125,27.407068754,0.866666666666667
"15",291.3,28.46723495,NA,28.371161105,26.8408613125,27.407068754,0.933333333333333
"16",304,29.42001993,NA,28.371161105,26.8408613125,27.407068754,1
