year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dic
1956,2.287,1.79,3.377,4.163,5.942,8.978,10.24,8.949,9.592,5.423,2.666,1.681
1957,1.399,1.932,2.698,3.219,3.734,6.439,8.671,6.967,7.173,3.469,1.658,2.033
1958,2.155,2.593,1.897,3.039,6.635,8.214,9.921,9.671,7.241,6.138,2.946,2.564
1959,2.091,1.83,2.818,4.489,5.203,9.351,11.193,8.672,6.193,4.556,3.454,2.209
1960,1.334,1.303,2.91,4.717,6.164,9.022,11.974,10.625,7.709,4.813,2.711,2.014
1961,2.955,2.407,2.642,4.327,6.314,10.148,10.866,7.885,4.883,4.552,2.092,1.309
1962,1.797,1.812,2.092,5.063,5.599,7.971,9.884,10.821,8.312,5.899,3.54,2.499
1963,2,3.155,2.978,3.564,7.249,6.917,11.454,8.204,6.534,6.255,2.683,2.107
1964,1.968,1.935,1.975,3.45,5.704,6.019,11.183,8.944,8.223,7.294,2.2,1.433
1965,1.49,1.91,2.296,3.517,4.813,5.915,8.146,7.166,4.868,6.554,3.301,1.976
1966,1.869,1.737,3.557,4.893,7.414,8.185,11.301,10.225,6.744,5.162,3.238,1.157
1967,1.71,2.113,3.192,3.447,4.591,4.459,9.328,10.021,7.366,6.159,3.557,1.341
1968,1.934,1.853,3.096,3.203,5.339,8.019,10.022,5.866,6.724,5.319,2.344,1.83
1969,1.876,1.689,1.961,4.365,7.821,5.913,9.864,10.49,7.833,3.046,3.046,2.337
1970,1.723,2.944,2.523,3.435,6.356,7.411,9.4,10.272,7.007,4.258,2.521,1.713
1971,1.729,2.055,2.902,4.144,5.132,8.18,11.002,9.937,6.874,3.937,1.846,1.1
1972,1.925,2.64,3.964,4.482,6.652,6.958,10.842,9.278,6.332,3.506,1.499,1.431
1973,1.545,1.842,1.844,2.926,5.946,7.774,9.053,9.035,6.042,5.78,2.197,1.533
1974,1.251,1.807,3.107,3.641,7.367,9.996,10.555,10.174,8.721,5.17,2.618,1.669
1975,1.914,1.747,2.179,2.486,4.472,5.893,8.726,8.788,7.661,4.831,2.572,1.43
1976,1.652,2.4,2.335,3.838,5.653,7.902,11.067,8.819,6.931,5.264,3.665,2.771
1977,2.102,3.014,2.588,5.449,4.893,9.574,9.784,8.49,7.829,5.836,3.05,2.273
1978,1.621,1.644,2.908,3.774,5.055,8.685,10.919,9.118,6.652,6.821,2.165,1.211
1979,1.309,1.628,1.99,3.941,5.198,8.972,10.89,8.582,10.248,6.409,1.997,2.411
1980,1.718,1.989,2.052,4.258,4.1,9.024,10.316,9.655,7.341,5.265,3.204,2.952
1981,3.177,3.055,2.716,5.144,4.604,9.138,10.352,10.117,8.096,3.539,3.024,2.115
1982,1.919,2.134,2.425,3.841,5.487,7.88,9.702,9.471,5.507,3.748,2.064,1.776
1983,2.106,1.973,2.311,2.695,4.658,7.045,8.433,7.549,6.882,4.916,1.973,1.194
1984,1.7,2.199,1.886,2.872,6.067,6.335,7.732,6.581,5.912,2.928,2.258,1.377
1985,1.494,1.353,2.046,4.476,6.409,9.199,9.596,11.219,6.051,4.663,1.971,2.129
1986,2.743,1.904,3.612,3.206,6.12,9.361,8.353,9.567,5.132,3.805,2.293,2.149
1987,1.896,2.014,2.331,5.814,4.974,8.571,8.157,8.055,8.72,6.31,2.083,1.329
1988,1.536,2.228,2.408,4.55,6.016,9.582,11.982,10.716,7.549,6.366,1.989,1.569
1989,1.878,1.733,3.243,5.233,6.38,6.912,11.912,8.472,7.664,5.226,3.533,2.177
1990,1.787,1.741,2.643,4.398,5.796,8.775,8.677,10.062,7.276,5.32,2.943,1.707
1991,1.753,3.029,2.182,3.466,4.795,7.663,9.377,7.804,6.65,6.096,1.817,2.047
1992,2.175,2.139,2.978,5.925,6.689,7.79,8.767,10.53,7.601,6.114,1.906,1.316
1993,1.64,1.39,3.341,3.673,5.166,6.835,8.905,8.592,8.557,4.057,2.845,2.193
1994,2.677,2.107,4.062,4.811,7.349,11.087,13.147,11.739,8.629,3.447,1.925,1.861
1995,1.505,3.232,2.838,3.683,3.679,5.951,8.882,9.838,7.993,5.498,3.553,2.126
1996,1.753,2.711,3.116,4.378,5.938,9.203,11.176,12.132,6.439,4.842,2.42,1.366
1997,1.7,2.157,3.853,3.356,5.935,7.571,9.962,7.692,4.683,4.718,2.622,1.791
1998,1.822,1.577,2.966,3.626,5.471,5.922,10.18,9.561,6.648,4.201,2.654,2.049
1999,2.065,2.563,4.47,3.522,5.271,7.299,9.647,7.853,7.133,7.792,5.302,2.229
2000,1.551,2.22,3.265,5.779,7.374,10.275,13.948,11.62,7.735,4.453,2.214,2.33
2001,2.286,1.986,3.409,4.391,7.457,10.868,12.324,11.31,9.904,6.611,3.087,1.889
2002,2.112,3.05,3.169,5.396,7.185,11.91,14.289,12.749,6.933,4.588,3.068,1.775
2003,2.73,1.955,2.993,4.593,6.376,8.094,15.16,10.767,8.618,8.159,2.087,2.274
2004,2.362,1.932,4.906,4.937,6.676,8.495,10.294,9.733,7.46,3.771,2.488,2.348
2005,2.061,2.449,3.432,4.867,5.839,6.844,13.13,9.071,7.645,5.04,3.55,2.403
2006,2.04,2.997,2.505,5.331,7.819,10.981,11.593,9.167,6.857,3.98,3.21,2.151
2007,2.33,2.498,4.197,5.037,6.809,11.172,12.511,10.44,7.591,4.812,4.594,1.543
2008,1.624,2.139,2.834,4.266,5.68,8.95,12.406,11.311,7.606,5.734,3.849,1.807
2009,2.483,2.365,3.705,4.057,6.477,5.707,11.322,10.373,8.963,4.133,4.006,1.671
2010,2.128,1.896,3.085,4.364,4.805,8.428,10.557,8.945,10.163,4.861,2.394,1.838
2011,2.176,2.092,2.702,3.639,4.409,8.311,8.115,10.85,8.291,4.895,3.009,2.441
2012,2.924,2.138,4.34,5.71,7.947,12.493,10.783,11.775,9.254,5.921,3.993,1.641
2013,2.267,2.254,3.608,4.125,6.707,11.664,11.587,9.589,5.486,4.444,3.277,2.008
2014,2.831,2.254,3.912,4.447,6.646,9.342,11.596,6.625,6.673,5.548,3.187,1.651
2015,2.471,3.411,4.554,4.981,3.755,10.002,8.851,9.491,9.032,5.155,2.639,1.683
