year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
1966,28.3,61.1,41.1,23.7,44.2,16.2,16.5,31.7,47.5,49.7,65.3,128
1967,139,32.2,83.5,55.3,72,64.8,24.7,24.7,26.5,26.6,40.6,73.8
1968,34.8,101.7,57.1,110.5,73.2,59.8,31.9,94.8,10.3,46.6,47.2,51.4
1969,189.6,115.9,22.9,44.3,7.5,72,33.3,41.7,19.3,87.2,21.3,66.2
1970,77.6,26.4,47.5,68.7,34.8,43.3,45.4,12.2,52.8,62.1,109.7,107.2
1971,58.6,46.7,24.5,51.8,39.8,26,7.1,36.4,44.4,74.3,63.4,139.5
1972,60.4,32.2,48.1,96.9,2.2,32.3,5,23.8,46.1,137.4,44.3,108.4
1973,60.1,70.2,76.8,69.9,33.4,20.6,40.9,63.1,78.3,13.7,86.1,96.3
1974,68.6,28.1,40.5,106.9,3.6,6.1,35.2,2,1,67.4,35.6,44.6
1975,83.8,62.7,127.2,68.6,66,63,24.4,8.4,10.3,79,61.6,55.8
1976,30.8,111,49.9,42.6,33.5,14.1,17.5,19.8,20.6,7.5,1.1,3.6
1977,27,42,66.3,13.2,75.2,9.3,38.1,74.3,48.8,39.3,45.4,86.5
1978,93.2,79.3,120.7,116.7,26,18.3,0.2,43.1,61.8,3.6,111.4,60.5
1979,101.7,53,44.6,15.5,30.8,1.5,14.7,39.9,4.4,89.4,43.3,12.2
1980,318.7,169.9,88.4,26.9,95.1,3.5,14.7,16.9,33.9,57.3,52.7,56
1981,36.4,23.1,122.3,41.9,89.1,18.6,22.8,10.9,50.9,140.6,40.7,88.1
1982,114.4,59.3,121.4,49.5,39.6,18.4,50.9,19.2,179.5,50.6,113.8,41.7
1983,25.5,114.7,85.4,71.6,92.7,38.5,77.6,79.6,64.6,43.7,130.3,190.6
1984,19.5,38.3,61.3,64,31.5,75.3,42,72.3,66,97.7,92.8,64.8
1985,20.8,46.8,61.5,24.4,75.4,20.6,71.8,3,38.9,60.7,143.8,40
1986,35,209,78.3,119.2,49.3,8.5,44.8,37.6,59.5,40.4,24.7,5.8
1987,53.4,32.2,60.1,8.8,71,20,45.9,54.4,5,31.5,47.3,50.3
1988,53.6,9.6,28.7,47.2,22.6,5.5,3.8,11.2,9.5,7.4,97.1,61.5
1989,23.9,116.3,78.4,33.2,12.6,19.2,17.2,45.7,66.9,22.6,38.8,10.3
1990,77.7,75.8,69.8,38.5,38.3,38.6,19.7,29.7,49.7,48.1,45,56.9
1991,44.2,20.6,85.9,66.8,73.3,54.5,9.3,78.3,61.6,70.7,69.6,11.9
1992,17.6,53.3,36.8,20.7,54.2,22.8,19.9,11.4,20,95.6,59.8,96
1993,148.7,76.3,58.9,55.5,133.1,48.6,59.2,50.8,16.1,83.4,40.4,9.8
1994,23,105,74.6,69.6,33.7,1.5,6,44.4,22.4,111.1,93.8,43.9
1995,99.6,57.1,117.8,39.9,138.2,52.1,26.8,21.2,29,14.5,37.1,58.5
1996,182.3,99.5,90.5,65.8,56.3,29,26.9,3,59.6,57.8,122,169.2
1997,163.3,69.7,36.6,63.4,56.8,55.6,20.6,69.5,86.8,34.3,48.5,29.5
1998,107.6,79.8,85,44.2,58.8,118,34.5,38.2,20.1,51,43.9,33.4
1999,112.7,81.2,30.3,114.2,68.2,35.8,36,39.7,22.7,4.6,3.1,47.1
2000,106.5,97.8,34.5,40,48.7,11.1,8.9,42.5,43.2,42.7,32.4,49.7
2001,14.2,58.7,32.1,103.2,13.5,4.6,24.7,30.6,4.9,24.7,92.7,65.8
2002,20.9,9.4,38,52.3,37.2,2.6,10.1,9.7,83.8,63.2,71.2,35.9
2003,15.8,73.9,40.9,42,50.6,65,12.2,40.6,18.3,29.5,99.4,88.3
2004,87.9,67.8,20.9,28.7,26.7,39.4,23.2,42.6,17,175.4,67.9,49.5
2005,197.7,64.6,72.2,49.7,78.8,40.8,0,16.1,22.1,38.7,28.5,117.3
2006,72.2,69.5,79.6,29.8,22.5,21.1,28.8,40,48,45.1,71.3,54.1
2007,83.9,77.3,35.3,16.4,21.8,4.4,22.8,17.9,56.5,68.6,7.4,98.2
2008,159.8,61.8,36.8,9.1,40.5,18.2,1.6,7.7,52.5,9,55.6,48.8
2009,63.9,65,41.7,95.8,34,66.3,8.8,17.7,48.8,31.3,11,22.6
2010,26.8,7.2,45.4,44.2,49,68.1,40,55.1,12.4,87.2,39.5,240
2011,47.5,65.8,77,104.3,120.5,35.5,26.4,20,13.8,58,79.2,17.3
2012,100,64.3,19.9,56.1,17.4,0.4,26.7,10.2,19,47.7,72.2,73.8
